DEBUG - 2021-06-23 13:31:12,195 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/embroider HTTP/1.1" 200 637 
DEBUG - 2021-06-23 13:31:12,217 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/vigilant HTTP/1.1" 200 633 
DEBUG - 2021-06-23 13:31:12,226 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Sushi HTTP/1.1" 200 428 
DEBUG - 2021-06-23 13:31:12,230 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Protons HTTP/1.1" 200 443 
DEBUG - 2021-06-23 13:31:12,239 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/eaten HTTP/1.1" 200 846 
DEBUG - 2021-06-23 13:31:12,252 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Electrons HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:12,253 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Neutrons HTTP/1.1" 200 475 
DEBUG - 2021-06-23 13:31:12,300 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/lightest HTTP/1.1" 200 4433 
DEBUG - 2021-06-23 13:31:12,331 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/laughed HTTP/1.1" 200 1205 
DEBUG - 2021-06-23 13:31:12,333 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/ego HTTP/1.1" 200 386 
DEBUG - 2021-06-23 13:31:12,415 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/alright HTTP/1.1" 200 1363 
DEBUG - 2021-06-23 13:31:12,434 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/possessed HTTP/1.1" 200 315 
DEBUG - 2021-06-23 13:31:12,451 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/shouted HTTP/1.1" 200 1016 
DEBUG - 2021-06-23 13:31:12,467 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/afar HTTP/1.1" 200 1049 
DEBUG - 2021-06-23 13:31:12,483 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/waiter HTTP/1.1" 200 810 
DEBUG - 2021-06-23 13:31:12,496 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sprinkle HTTP/1.1" 200 1365 
DEBUG - 2021-06-23 13:31:12,499 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/useless HTTP/1.1" 200 612 
DEBUG - 2021-06-23 13:31:12,513 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/waiters HTTP/1.1" 200 809 
DEBUG - 2021-06-23 13:31:12,522 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/lust HTTP/1.1" 200 764 
DEBUG - 2021-06-23 13:31:12,553 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/dragons HTTP/1.1" 200 652 
DEBUG - 2021-06-23 13:31:12,584 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/charmer HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:12,602 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/chutney HTTP/1.1" 200 412 
DEBUG - 2021-06-23 13:31:12,653 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Bro HTTP/1.1" 200 379 
DEBUG - 2021-06-23 13:31:12,667 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/forgiven HTTP/1.1" 200 447 
DEBUG - 2021-06-23 13:31:12,699 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/boyfriend HTTP/1.1" 200 782 
DEBUG - 2021-06-23 13:31:12,716 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Protector HTTP/1.1" 200 768 
DEBUG - 2021-06-23 13:31:12,750 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/spared HTTP/1.1" 200 1565 
DEBUG - 2021-06-23 13:31:12,758 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/thrashing HTTP/1.1" 200 700 
DEBUG - 2021-06-23 13:31:12,770 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/torn HTTP/1.1" 200 1700 
DEBUG - 2021-06-23 13:31:12,784 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/wafers HTTP/1.1" 200 625 
DEBUG - 2021-06-23 13:31:12,795 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/crispy HTTP/1.1" 200 424 
DEBUG - 2021-06-23 13:31:12,812 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/spoon HTTP/1.1" 200 973 
DEBUG - 2021-06-23 13:31:12,850 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/wafer HTTP/1.1" 200 510 
DEBUG - 2021-06-23 13:31:12,867 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Brahma HTTP/1.1" 200 608 
DEBUG - 2021-06-23 13:31:12,883 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Baba HTTP/1.1" 200 813 
